       290149377 function calls (285317559 primitive calls) in 474.401 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:919(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
      153    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000  474.455  474.455 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:12(__new__)
        2    0.000    0.000    0.000    0.000 <string>:16(_make)
        2    0.000    0.000    0.000    0.000 <string>:24(_replace)
        1    0.000    0.000    0.000    0.000 <string>:5(RequestRate)
        1    0.000    0.000    0.000    0.000 Crawler.py:23(get_hostnames_from_csv_list)
        1    0.000    0.000  474.454  474.454 Crawler.py:35(crawl_hostnames)
        1    0.000    0.000  474.455  474.455 Crawler.py:57(crawl_list_of_hostnames)
     2597    0.010    0.000    0.303    0.000 SSL.py:1035(set_cipher_list)
     1298    0.008    0.000    0.030    0.000 SSL.py:1127(set_info_callback)
     7082    0.016    0.000    0.299    0.000 SSL.py:1134(wrapper)
     2597    0.004    0.000    0.009    0.000 SSL.py:1173(set_options)
     3895    0.005    0.000    0.011    0.000 SSL.py:1185(set_mode)
     1692    0.027    0.000    0.078    0.000 SSL.py:1356(__init__)
    12787    0.070    0.000    0.102    0.000 SSL.py:1417(_raise_ssl_error)
      393    0.002    0.000    0.003    0.000 SSL.py:1493(set_tlsext_host_name)
     1574    0.011    0.000    0.049    0.000 SSL.py:1516(send)
    10171    0.059    0.000    0.310    0.000 SSL.py:1580(recv)
     3448    0.008    0.000    0.013    0.000 SSL.py:1639(_handle_bio_errors)
     5638    0.028    0.000    0.062    0.000 SSL.py:1657(bio_read)
     3209    0.014    0.000    0.039    0.000 SSL.py:1678(bio_write)
     1042    0.004    0.000    0.801    0.001 SSL.py:1708(do_handshake)
      197    0.001    0.000    0.001    0.000 SSL.py:1771(bio_shutdown)
      272    0.000    0.000    0.008    0.000 SSL.py:1783(shutdown)
     1299    0.208    0.000    0.576    0.000 SSL.py:1799(get_cipher_list)
      393    0.000    0.000    0.000    0.000 SSL.py:1858(set_app_data)
      258    0.001    0.000    0.002    0.000 SSL.py:1952(get_peer_certificate)
     1298    0.001    0.000    0.001    0.000 SSL.py:196(__init__)
    12787    0.008    0.000    0.008    0.000 SSL.py:199(raise_if_problem)
      393    0.000    0.000    0.001    0.000 SSL.py:2012(set_connect_state)
     1298    0.013    0.000    0.046    0.000 SSL.py:218(__init__)
      382    0.004    0.000    0.007    0.000 SSL.py:221(wrapper)
     2597    0.061    0.000    0.310    0.000 SSL.py:609(__init__)
     1298    0.005    0.000    0.011    0.000 SSL.py:915(set_session_id)
     1298    0.008    0.000    0.056    0.000 SSL.py:954(set_verify)
     1298    0.002    0.000    0.004    0.000 SSL.py:975(set_verify_depth)
        1    0.000    0.000    0.000    0.000 WebCrawlingSpider.py:1(<module>)
        1    0.000    0.000    0.000    0.000 WebCrawlingSpider.py:10(WebCrawlingSpider)
       20    0.000    0.000    0.004    0.000 WebCrawlingSpider.py:24(__init__)
       20    0.000    0.000    0.003    0.000 WebCrawlingSpider.py:34(create_data_directory)
     1144    0.069    0.000  260.053    0.227 WebCrawlingSpider.py:42(parse_page)
     1144    0.129    0.000    4.119    0.004 WebCrawlingSpider.py:51(persist_webpage_text)
     1144    0.852    0.001   23.054    0.020 WebCrawlingSpider.py:58(get_visible_text)
  2437086    0.957    0.000    1.302    0.000 WebCrawlingSpider.py:61(<genexpr>)
  2534872    1.875    0.000    2.343    0.000 WebCrawlingSpider.py:63(check_if_text_is_visible)
        8    0.000    0.000    0.004    0.000 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(ItemPipelineManager)
       31    0.000    0.000    0.434    0.014 __init__.py:100(_process_links)
       18    0.000    0.000    0.000    0.000 __init__.py:100(close)
       31    0.002    0.000    0.076    0.002 __init__.py:101(<listcomp>)
     1576    0.002    0.000    0.005    0.000 __init__.py:101(get)
     2901    0.005    0.000    0.006    0.000 __init__.py:101(needs_backout)
     1749    0.004    0.000    0.022    0.000 __init__.py:104(_get_slot)
     2288    0.001    0.000    0.001    0.000 __init__.py:105(reset)
       31    0.001    0.000    0.947    0.031 __init__.py:108(_extract_links)
  1756589    1.109    0.000    1.109    0.000 __init__.py:108(can_be_empty_element)
  878/864    0.001    0.000    0.107    0.000 __init__.py:108(import_module)
        6    0.000    0.000    0.000    0.000 __init__.py:1107(__init__)
       17    0.000    0.000    0.000    0.000 __init__.py:1113(append)
     1749    0.005    0.000    0.016    0.000 __init__.py:113(_get_slot_key)
      604    0.001    0.000    0.003    0.000 __init__.py:113(getbool)
     3027    0.020    0.000    0.041    0.000 __init__.py:1159(getLogger)
     3803    0.007    0.000    0.010    0.000 __init__.py:120(getLevelName)
       28    0.000    0.000    0.000    0.000 __init__.py:1210(_fixupParents)
  2730712    0.898    0.000    2.025    0.000 __init__.py:122(unescape)
     1749    0.016    0.000    7.300    0.004 __init__.py:123(_enqueue_request)
        1    0.000    0.000    0.000    0.000 __init__.py:1234(_fixupChildren)
       28    0.000    0.000    0.000    0.000 __init__.py:1266(__init__)
     1748    0.002    0.000    0.004    0.000 __init__.py:127(_deactivate)
