       290149377 function calls (285317559 primitive calls) in 474.401 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      895    0.001    0.000    0.001    0.000 abstract.py:178(__init__)
      576    0.002    0.000    0.021    0.000 abstract.py:191(connectionLost)
     2445    0.004    0.000    0.005    0.000 abstract.py:21(_concatenate)
     2445    0.022    0.000    0.153    0.000 abstract.py:234(doWrite)
      225    0.000    0.000    0.000    0.000 abstract.py:291(_postLoseConnection)
     2665    0.004    0.000    0.004    0.000 abstract.py:326(_maybePauseProducer)
     2190    0.014    0.000    0.055    0.000 abstract.py:339(write)
      476    0.005    0.000    0.018    0.000 abstract.py:358(writeSequence)
      630    0.001    0.000    0.005    0.000 abstract.py:386(loseConnection)
     2911    0.005    0.000    0.041    0.000 abstract.py:415(stopReading)
     3706    0.004    0.000    0.047    0.000 abstract.py:423(stopWriting)
     4018    0.006    0.000    0.038    0.000 abstract.py:431(startReading)
     3459    0.006    0.000    0.051    0.000 abstract.py:436(startWriting)
     2880    0.004    0.000    0.030    0.000 abstract.py:464(resumeProducing)
     1400    0.002    0.000    0.031    0.000 abstract.py:468(pauseProducing)
     6827    0.030    0.000    0.061    0.000 abstract.py:485(isIPAddress)
     4393    0.005    0.000    0.054    0.000 abstract.py:530(isIPv6Address)
        1    0.000    0.000    0.000    0.000 adapter.py:101(changed)
        1    0.000    0.000    0.000    0.000 adapter.py:105(register)
        1    0.000    0.000    0.000    0.000 adapter.py:140(registered)
        1    0.000    0.000    0.000    0.000 adapter.py:461(changed)
        1    0.000    0.000    0.000    0.000 adapter.py:497(add_extendor)
        2    0.000    0.000    0.000    0.000 adapter.py:502(<listcomp>)
        2    0.000    0.000    0.000    0.000 adapter.py:506(<listcomp>)
        1    0.000    0.000    0.000    0.000 adapter.py:516(_subscribe)
        1    0.000    0.000    0.000    0.000 adapter.py:524(_uncached_lookup)
        1    0.000    0.000    0.000    0.000 adapter.py:649(changed)
        2    0.000    0.000    0.000    0.000 adapter.py:664(_convert_None_to_Interface)
     2107    0.002    0.000    0.002    0.000 address.py:40(__init__)
     1707    0.002    0.000    0.004    0.000 address.py:66(__init__)
      400    0.001    0.000    0.001    0.000 address.py:94(__init__)
        1    0.000    0.000    0.000    0.000 ajaxcrawl.py:16(AjaxCrawlMiddleware)
        1    0.000    0.000    0.000    0.000 ajaxcrawl.py:2(<module>)
       20    0.000    0.000    0.000    0.000 ajaxcrawl.py:22(__init__)
       20    0.000    0.000    0.000    0.000 ajaxcrawl.py:32(from_crawler)
        1    0.000    0.000    0.000    0.000 argparse.py:1005(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1024(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1050(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1052(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:109(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1146(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1200(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1220(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 argparse.py:150(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1527(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1561(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1581(ArgumentParser)
        1    0.000    0.000    0.000    0.000 argparse.py:200(_Section)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:637(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:648(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:659(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:676(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:709(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:729(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:738(Action)
        1    0.000    0.000    0.000    0.000 argparse.py:829(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:864(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:887(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:904(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:921(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:958(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:984(_CountAction)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 ascii.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 ascii.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 ascii.py:34(StreamConverter)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.037    0.037 base.py:1014(_stopThreadPool)
      596    0.001    0.000    0.006    0.000 base.py:1033(getThreadPool)
      685    0.001    0.000    0.001    0.000 base.py:1075(__init__)
      685    0.007    0.000    0.089    0.000 base.py:1088(connect)
      123    0.001    0.000    0.014    0.000 base.py:1102(stopConnecting)
      685    0.001    0.000    0.004    0.000 base.py:1111(cancelTimeout)
      556    0.002    0.000    0.022    0.000 base.py:1119(buildProtocol)
      129    0.001    0.000    0.013    0.000 base.py:1124(connectionFailed)
      556    0.003    0.000    0.008    0.000 base.py:1134(connectionLost)
      210    0.001    0.000    0.005    0.000 base.py:1158(createInternetSocket)
        1    0.000    0.000    0.000    0.000 base.py:1190(_handleSignals)
        1    0.000    0.000    0.000    0.000 base.py:1211(startRunning)
        1    0.000    0.000    0.000    0.000 base.py:1225(_reallyStartRunning)
        1    0.000    0.000  474.058  474.058 base.py:1241(run)
        1    0.027    0.027  474.058  474.058 base.py:1246(mainLoop)
        1    0.000    0.000    0.000    0.000 base.py:15(MIMEBase)
    11905    0.009    0.000    0.009    0.000 base.py:150(activate_delay)
     1784    0.002    0.000    0.002    0.000 base.py:154(active)
   111941    0.076    0.000    0.076    0.000 base.py:174(__lt__)
     1459    0.007    0.000    0.018    0.000 base.py:198(__init__)
     1459    0.004    0.000    0.027    0.000 base.py:279(clone)
        2    0.000    0.000    0.000    0.000 base.py:342(addTrigger)
        1    0.000    0.000    0.000    0.000 base.py:361(removeTrigger)
     3434    0.008    0.000    0.013    0.000 base.py:37(__init__)
        1    0.000    0.000    0.000    0.000 base.py:374(removeTrigger_BASE)
        2    0.000    0.000    0.044    0.022 base.py:411(fireEvent)
        2    0.000    0.000    0.044    0.022 base.py:431(_continueFiring)
     1975    0.005    0.000    0.015    0.000 base.py:437(__init__)
    12704    0.006    0.000    0.006    0.000 base.py:49(__setattr__)
     1717    0.006    0.000    0.028    0.000 base.py:492(clone)
        1    0.000    0.000    0.004    0.004 base.py:5(<module>)
    12794    0.050    0.000    0.050    0.000 base.py:52(__init__)
     3176    0.002    0.000    0.002    0.000 base.py:55(readOnly)
     1749    0.004    0.000    0.004    0.000 base.py:552(nameResolver)
       12    0.000    0.000    0.000    0.000 base.py:561(wakeUp)
      258    0.000    0.000    0.000    0.000 base.py:573(verifySizeSpec)
     1459    0.000    0.000    0.000    0.000 base.py:59(effectiveTagSet)
        1    0.000    0.000    0.000    0.000 base.py:621(stop)
        1    0.000    0.000    0.000    0.000 base.py:633(crash)
        1    0.000    0.000    0.000    0.000 base.py:646(sigInt)
        1    0.000    0.000    0.007    0.007 base.py:664(disconnectAll)
        2    0.000    0.000    0.044    0.022 base.py:681(fireSystemEvent)
        2    0.000    0.000    0.000    0.000 base.py:689(addSystemEventTrigger)
        1    0.000    0.000    0.000    0.000 base.py:699(removeSystemEventTrigger)
        1    0.000    0.000    0.000    0.000 base.py:706(callWhenRunning)
        1    0.000    0.000    0.000    0.000 base.py:715(startRunning)
        1    0.000    0.000    0.000    0.000 base.py:738(_reallyStartRunning)
    12794    0.088    0.000    0.151    0.000 base.py:749(callLater)
     4540    0.005    0.000    0.005    0.000 base.py:782(_cancelCallLater)
     6508    0.025    0.000    0.072    0.000 base.py:799(_insertNewDelayedCalls)
     3254    0.014    0.000    0.065    0.000 base.py:809(timeout)
     3254    0.136    0.000  280.010    0.086 base.py:839(runUntilCurrent)
     4540    0.021    0.000    0.025    0.000 base.py:88(cancel)
       18    0.003    0.000    0.003    0.000 base.py:894(<listcomp>)
     1459    0.000    0.000    0.000    0.000 base.py:95(isSuperTypeOf)
        1    0.000    0.000    0.000    0.000 base.py:987(callFromThread)
        1    0.000    0.000    0.005    0.005 base.py:999(_initThreadPool)
       97    0.000    0.000    0.000    0.000 basic.py:531(clearLineBuffer)
     7599    0.091    0.000   25.669    0.003 basic.py:542(dataReceived)
     1400    0.001    0.000    0.001    0.000 basic.py:602(setRawMode)
       20    0.000    0.000    0.001    0.000 big5prober.py:35(__init__)
       22    0.000    0.000    0.000    0.000 big5prober.py:41(charset_name)
       21    0.000    0.000    0.000    0.000 big5prober.py:45(language)
        1    0.000    0.000    0.000    0.000 boto.py:1(<module>)
     2788    0.009    0.000    0.009    0.000 calendar.py:598(timegm)
     1459    0.002    0.000    0.003    0.000 char.py:116(asOctets)
     1459    0.002    0.000    0.031    0.000 char.py:128(clone)
     1459    0.001    0.000    0.002    0.000 char.py:90(__bytes__)
     1459    0.002    0.000    0.005    0.000 char.py:98(prettyIn)
        8    0.000    0.000    0.000    0.000 chardistribution.py:100(got_enough_data)
       20    0.000    0.000    0.000    0.000 chardistribution.py:114(__init__)
        1    0.000    0.000    0.000    0.000 chardistribution.py:120(get_order)
       40    0.000    0.000    0.000    0.000 chardistribution.py:133(__init__)
      121    0.000    0.000    0.000    0.000 chardistribution.py:139(get_order)
       20    0.000    0.000    0.000    0.000 chardistribution.py:152(__init__)
      232    0.000    0.000    0.000    0.000 chardistribution.py:158(get_order)
       20    0.000    0.000    0.000    0.000 chardistribution.py:171(__init__)
      230    0.000    0.000    0.000    0.000 chardistribution.py:177(get_order)
       20    0.000    0.000    0.000    0.000 chardistribution.py:193(__init__)
      105    0.000    0.000    0.000    0.000 chardistribution.py:199(get_order)
       20    0.000    0.000    0.000    0.000 chardistribution.py:218(__init__)
        9    0.000    0.000    0.000    0.000 chardistribution.py:224(get_order)
      140    0.000    0.000    0.000    0.000 chardistribution.py:46(__init__)
      420    0.000    0.000    0.000    0.000 chardistribution.py:61(reset)
  3118978    0.559    0.000    0.559    0.000 chardistribution.py:70(feed)
       26    0.000    0.000    0.000    0.000 chardistribution.py:84(get_confidence)
        1    0.000    0.000    0.000    0.000 charmap.py:11(<module>)
        1    0.000    0.000    0.000    0.000 charmap.py:17(Codec)
        1    0.000    0.000    0.000    0.000 charmap.py:24(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 charmap.py:32(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 charmap.py:40(StreamWriter)
        1    0.000    0.000    0.000    0.000 charmap.py:49(StreamReader)
        1    0.000    0.000    0.000    0.000 charmap.py:60(getregentry)
       40    0.000    0.000    0.000    0.000 charsetgroupprober.py:33(__init__)
       40    0.000    0.000    0.002    0.000 charsetgroupprober.py:39(reset)
        4    0.000    0.000    0.000    0.000 charsetgroupprober.py:49(charset_name)
        2    0.000    0.000    0.000    0.000 charsetgroupprober.py:57(language)
       40    0.002    0.000   17.811    0.445 charsetgroupprober.py:65(feed)
       42    0.004    0.000    0.064    0.002 charsetgroupprober.py:85(get_confidence)
       20    1.200    0.060    1.323    0.066 charsetprober.py:103(filter_with_english_letters)
      520    0.001    0.000    0.003    0.000 charsetprober.py:39(__init__)
      940    0.000    0.000    0.000    0.000 charsetprober.py:44(reset)
     1026    0.000    0.000    0.000    0.000 charsetprober.py:54(state)
       21    0.000    0.000    0.000    0.000 charsetprober.py:58(get_confidence)
       20    0.000    0.000    0.129    0.006 charsetprober.py:61(filter_high_byte_only)
      260    0.016    0.000    2.145    0.008 charsetprober.py:66(filter_international_words)
        1    0.000    0.000    0.000    0.000 client.py:1025(FileBodyProducer)
        1    0.000    0.000    0.000    0.000 client.py:1133(_HTTP11ClientFactory)
      596    0.001    0.000    0.001    0.000 client.py:1142(__init__)
      556    0.001    0.000    0.002    0.000 client.py:1146(buildProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1151(_RetryingHTTP11ClientProtocol)
     1238    0.001    0.000    0.001    0.000 client.py:1161(__init__)
       85    0.001    0.000    0.001    0.000 client.py:1166(_shouldRetry)
     1238    0.005    0.000    0.297    0.000 client.py:1194(request)
       85    0.001    0.000    0.064    0.001 client.py:1204(failed)
       85    0.000    0.000    0.015    0.000 client.py:1208(<lambda>)
        1    0.000    0.000    0.000    0.000 client.py:1216(HTTPConnectionPool)
       40    0.000    0.000    0.000    0.000 client.py:1260(__init__)
     1749    0.019    0.000    0.361    0.000 client.py:1267(getConnection)
       85    0.000    0.000    0.062    0.001 client.py:1297(<lambda>)
      596    0.004    0.000    0.371    0.001 client.py:1305(_newConnection)
     1480    0.003    0.000    0.037    0.000 client.py:1311(quiescentCallback)
       22    0.000    0.000    0.001    0.000 client.py:1317(_removeConnection)
     1480    0.012    0.000    0.033    0.000 client.py:1326(_putConnection)
       36    0.001    0.000    0.009    0.000 client.py:1352(closeCachedConnections)
       36    0.000    0.000    0.000    0.000 client.py:1367(<lambda>)
        1    0.000    0.000    0.000    0.000 client.py:1371(_AgentBase)
     1749    0.002    0.000    0.002    0.000 client.py:1381(__init__)
     1749    0.007    0.000    0.048    0.000 client.py:1388(_computeHostValue)
     1749    0.021    0.000    0.877    0.001 client.py:1400(_requestWithEndpoint)
     1709    0.009    0.000    0.400    0.000 client.py:1417(cbConnected)
        1    0.000    0.000    0.000    0.000 client.py:1427(_StandardEndpointFactory)
     1749    0.003    0.000    0.003    0.000 client.py:1441(__init__)
     1749    0.020    0.000   24.814    0.014 client.py:1467(endpointForURI)
        1    0.000    0.000    0.000    0.000 client.py:1501(Agent)
     1749    0.022    0.000    0.050    0.000 client.py:1515(__init__)
     1749    0.005    0.000    0.006    0.000 client.py:1586(_init)
     1749    0.004    0.000   24.818    0.014 client.py:1608(_getEndpoint)
     1749    0.018    0.000   25.923    0.015 client.py:1620(request)
        1    0.000    0.000    0.000    0.000 client.py:1643(ProxyAgent)
        1    0.000    0.000    0.000    0.000 client.py:1677(_FakeUrllib2Request)
        1    0.000    0.000    0.000    0.000 client.py:1754(_FakeUrllib2Response)
        1    0.000    0.000    0.000    0.000 client.py:1783(CookieAgent)
        1    0.000    0.000    0.000    0.000 client.py:1852(GzipDecoder)
        1    0.000    0.000    0.000    0.000 client.py:1875(_GzipProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1922(ContentDecoderAgent)
        1    0.000    0.000    0.000    0.000 client.py:1986(RedirectAgent)
     1749    0.009    0.000    0.062    0.000 client.py:20(urlunparse)
        1    0.000    0.000    0.000    0.000 client.py:2089(BrowserLikeRedirectAgent)
     1749    0.004    0.000    0.025    0.000 client.py:21(<listcomp>)
        1    0.000    0.000    0.000    0.000 client.py:2107(_ReadBodyProtocol)
        1    0.000    0.000    0.000    0.000 client.py:254(HTTPPageDownloader)
        1    0.000    0.000    0.000    0.000 client.py:287(HTTPClientFactory)
        1    0.000    0.000    0.000    0.000 client.py:462(HTTPDownloader)
        1    0.000    0.000    0.000    0.000 client.py:50(PartialDownloadError)
        1    0.000    0.000    0.000    0.000 client.py:570(URI)
     1749    0.007    0.000    0.007    0.000 client.py:576(__init__)
        1    0.000    0.000    0.000    0.000 client.py:58(HTTPPageGetter)
     1749    0.013    0.000    0.142    0.000 client.py:614(fromBytes)
     1749    0.006    0.000    0.068    0.000 client.py:661(originForm)
        1    0.000    0.000    0.020    0.020 client.py:7(<module>)
        1    0.000    0.000    0.000    0.000 client.py:742(_deprecateGetPageClasses)
        2    0.000    0.000    0.000    0.000 client.py:833(_requireSSL)
        1    0.000    0.000    0.000    0.000 client.py:863(WebClientContextFactory)
        1    0.000    0.000    0.000    0.000 client.py:906(BrowserLikePolicyForHTTPS)
       41    0.000    0.000    0.000    0.000 client.py:911(__init__)
        1    0.000    0.000    0.000    0.000 client.py:952(_ContextFactoryWithContext)
        1    0.000    0.000    0.000    0.000 client.py:984(_DeprecatedToCurrentPolicyForHTTPS)
        1    0.000    0.000    0.000    0.000 closespider.py:15(CloseSpider)
       20    0.000    0.000    0.000    0.000 closespider.py:17(__init__)
       20    0.000    0.000    0.000    0.000 closespider.py:42(from_crawler)
        1    0.000    0.000    0.000    0.000 closespider.py:5(<module>)
        1    0.000    0.000    0.000    0.000 code.py:16(InteractiveInterpreter)
        1    0.000    0.000    0.000    0.000 code.py:163(InteractiveConsole)
        1    0.000    0.000    0.002    0.002 code.py:3(<module>)
       14    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
       14    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
       57    0.000    0.000    0.000    0.000 codecs.py:318(decode)
        9    0.000    0.000    0.000    0.000 codecs.py:330(getstate)
       11    0.000    0.000    0.000    0.000 codecs.py:93(__new__)
        1    0.000    0.000    0.000    0.000 codeop.py:124(Compile)
        1    0.000    0.000    0.000    0.000 codeop.py:139(CommandCompiler)
        1    0.000    0.000    0.000    0.000 codeop.py:57(<module>)
        1    0.000    0.000    0.000    0.000 codeop.py:61(<listcomp>)
      160    0.000    0.000    0.001    0.000 codingstatemachine.py:55(__init__)
      480    0.000    0.000    0.000    0.000 codingstatemachine.py:63(reset)
  3960151    4.686    0.000    4.686    0.000 codingstatemachine.py:66(next_state)
  3957637    0.557    0.000    0.557    0.000 codingstatemachine.py:80(get_current_charlen)
        1    0.000    0.000    0.000    0.000 compat.py:283(comparable)
     4797    0.016    0.000    0.021    0.000 compat.py:417(nativeString)
     2445    0.002    0.000    0.002    0.000 compat.py:518(lazyByteSlice)
     1298    0.003    0.000    0.005    0.000 compat.py:538(networkString)
       72    0.000    0.000    0.000    0.000 compat.py:636(itervalues)
       78    0.000    0.000    0.000    0.000 compat.py:759(_bytesChr)
        1    0.000    0.000    0.000    0.000 compat.py:97(currentframe)
        4    0.000    0.000    0.001    0.000 components.py:308(proxyForInterface)
     1497    0.002    0.000    0.004    0.000 components.py:332(__init__)
       33    0.000    0.000    0.000    0.000 components.py:394(__init__)
        1    0.000    0.000    0.000    0.000 components.py:50(registerAdapter)
      306    0.001    0.000    0.003    0.000 components.py:99(_hook)
        1    0.000    0.000    0.000    0.000 conf.py:102(get_sources)
       80    0.001    0.000    0.024    0.000 conf.py:14(build_component_list)
       80    0.002    0.000    0.018    0.000 conf.py:22(_map_keys)
       80    0.000    0.000    0.004    0.000 conf.py:38(_validate_values)
       80    0.000    0.000    0.000    0.000 conf.py:56(<listcomp>)
        2    0.000    0.000    0.000    0.000 conf.py:66(closest_scrapy_cfg)
        1    0.000    0.000    0.001    0.001 conf.py:79(init_env)
        1    0.000    0.000    0.000    0.000 conf.py:94(get_config)
        1    0.000    0.000    0.000    0.000 config.py:164(_handle_existing_loggers)
       18    0.000    0.000    0.000    0.000 config.py:284(convert_with_key)
        3    0.000    0.000    0.000    0.000 config.py:317(__getitem__)
       13    0.000    0.000    0.000    0.000 config.py:321(get)
        2    0.000    0.000    0.000    0.000 config.py:325(pop)
        1    0.000    0.000    0.000    0.000 config.py:366(__init__)
       18    0.000    0.000    0.000    0.000 config.py:431(convert)
        1    0.000    0.000    0.000    0.000 config.py:485(configure)
        2    0.000    0.000    0.000    0.000 config.py:760(common_logger_config)
        2    0.000    0.000    0.000    0.000 config.py:778(configure_logger)
        1    0.000    0.000    0.000    0.000 config.py:793(dictConfig)
       11    0.000    0.000    0.000    0.000 configparser.py:1018(<dictcomp>)
        1    0.000    0.000    0.000    0.000 configparser.py:1113(_join_multiline_values)
        2    0.000    0.000    0.000    0.000 configparser.py:1131(_unify_values)
        3    0.000    0.000    0.000    0.000 configparser.py:1179(converters)
        1    0.000    0.000    0.000    0.000 configparser.py:1206(__init__)
        3    0.000    0.000    0.000    0.000 configparser.py:1219(__init__)
        1    0.000    0.000    0.000    0.000 configparser.py:1296(__init__)
        3    0.000    0.000    0.000    0.000 configparser.py:1338(__iter__)
        2    0.000    0.000    0.000    0.000 configparser.py:368(before_read)
        1    0.000    0.000    0.000    0.000 configparser.py:392(before_get)
        1    0.000    0.000    0.000    0.000 configparser.py:405(_interpolate_some)
        1    0.000    0.000    0.000    0.000 configparser.py:600(__init__)
        1    0.000    0.000    0.000    0.000 configparser.py:679(read)
      2/1    0.000    0.000    0.000    0.000 configparser.py:765(get)
        5    0.000    0.000    0.000    0.000 configparser.py:873(optionxform)
        1    0.000    0.000    0.000    0.000 configparser.py:876(has_option)
        1    0.000    0.000    0.000    0.000 configparser.py:991(_read)
     1717    0.001    0.000    0.001    0.000 constraint.py:30(__call__)
        1    0.000    0.000    0.000    0.000 contentmanager.py:1(<module>)
        8    0.000    0.000    0.000    0.000 contentmanager.py:13(add_get_handler)
        5    0.000    0.000    0.000    0.000 contentmanager.py:27(add_set_handler)
        1    0.000    0.000    0.000    0.000 contentmanager.py:7(ContentManager)
        1    0.000    0.000    0.000    0.000 contentmanager.py:9(__init__)
    14702    0.012    0.000    0.012    0.000 context.py:114(currentContext)
     7032    0.026    0.000   31.954    0.005 context.py:121(callWithContext)
     7074    0.014    0.000    0.041    0.000 context.py:124(getContext)
        1    0.000    0.000    0.000    0.000 context.py:61(__init__)
     7032    0.029    0.000   31.925    0.005 context.py:65(callWithContext)
     7074    0.018    0.000    0.018    0.000 context.py:90(getContext)
        1    0.000    0.000    0.002    0.002 contextfactory.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextfactory.py:19(ScrapyClientContextFactory)
       40    0.000    0.000    0.000    0.000 contextfactory.py:31(__init__)
     1298    0.015    0.000   23.514    0.018 contextfactory.py:35(getCertificateOptions)
     1298    0.010    0.000   24.167    0.019 contextfactory.py:55(getContext)
     1298    0.008    0.000   24.436    0.019 contextfactory.py:58(creatorForNetloc)
        1    0.000    0.000    0.000    0.000 contextfactory.py:62(BrowserLikeContextFactory)
     2999    0.010    0.000    0.036    0.000 cookiejar.py:1002(set_ok_domain)
     2999    0.001    0.000    0.001    0.000 cookiejar.py:1061(set_ok_port)
     8576    0.061    0.000    0.294    0.000 cookiejar.py:1082(return_ok)
     8576    0.004    0.000    0.004    0.000 cookiejar.py:1100(return_ok_version)
     8576    0.008    0.000    0.028    0.000 cookiejar.py:1109(return_ok_verifiability)
     8576    0.004    0.000    0.014    0.000 cookiejar.py:1121(return_ok_secure)
     8519    0.016    0.000    0.020    0.000 cookiejar.py:1127(return_ok_expires)
     7721    0.002    0.000    0.002    0.000 cookiejar.py:1133(return_ok_port)
     7721    0.017    0.000    0.136    0.000 cookiejar.py:1147(return_ok_domain)
     2709    0.011    0.000    0.073    0.000 cookiejar.py:1169(domain_return_ok)
     3175    0.006    0.000    0.068    0.000 cookiejar.py:1191(path_return_ok)
       20    0.000    0.000    0.000    0.000 cookiejar.py:1239(__init__)
     2709    0.032    0.000    0.473    0.000 cookiejar.py:1250(_cookies_for_domain)
     1749    0.019    0.000    0.043    0.000 cookiejar.py:1275(_cookie_attrs)
     7721    0.004    0.000    0.005    0.000 cookiejar.py:1285(<lambda>)
      723    0.001    0.000    0.001    0.000 cookiejar.py:131(offset_from_tz_string)
     1564    0.027    0.000    0.030    0.000 cookiejar.py:1367(_normalized_cookie_tuples)
      723    0.006    0.000    0.012    0.000 cookiejar.py:145(_str2time)
     3471    0.024    0.000    0.141    0.000 cookiejar.py:1464(_cookie_from_cookie_tuple)
     1564    0.006    0.000    0.178    0.000 cookiejar.py:1556(_cookies_from_attrs_set)
      782    0.002    0.000    0.002    0.000 cookiejar.py:1565(_process_rfc2109_cookies)
     3246    0.031    0.000    0.424    0.000 cookiejar.py:1577(make_cookies)
     2999    0.012    0.000    0.014    0.000 cookiejar.py:1644(set_cookie)
     1497    0.024    0.000    0.568    0.000 cookiejar.py:1657(extract_cookies)
      472    0.001    0.000    0.001    0.000 cookiejar.py:1671(clear)
     2788    0.016    0.000    0.056    0.000 cookiejar.py:223(http2time)
      782    0.001    0.000    0.001    0.000 cookiejar.py:337(split_header_words)
     2788    0.003    0.000    0.005    0.000 cookiejar.py:448(strip_quotes)
      782    0.041    0.000    0.131    0.000 cookiejar.py:455(parse_ns_headers)
    32171    0.007    0.000    0.007    0.000 cookiejar.py:46(_debug)
    13586    0.039    0.000    0.223    0.000 cookiejar.py:609(request_host)
    13586    0.016    0.000    0.244    0.000 cookiejar.py:625(eff_request_host)
     6174    0.017    0.000    0.124    0.000 cookiejar.py:636(request_path)
       18    0.000    0.000    0.000    0.000 cookiejar.py:664(uppercase_escaped_char)
     9572    0.017    0.000    0.089    0.000 cookiejar.py:666(escape_path)
     2788    0.006    0.000    0.016    0.000 cookiejar.py:75(_timegm)
     2999    0.016    0.000    0.023    0.000 cookiejar.py:750(__init__)
     8519    0.004    0.000    0.004    0.000 cookiejar.py:799(is_expired)
       20    0.000    0.000    0.000    0.000 cookiejar.py:873(__init__)
     5708    0.003    0.000    0.003    0.000 cookiejar.py:913(is_blocked)
     5708    0.003    0.000    0.003    0.000 cookiejar.py:928(is_not_allowed)
     2999    0.020    0.000    0.149    0.000 cookiejar.py:936(set_ok)
     2999    0.002    0.000    0.002    0.000 cookiejar.py:955(set_ok_version)
     2999    0.003    0.000    0.013    0.000 cookiejar.py:970(set_ok_verifiability)
     2999    0.001    0.000    0.001    0.000 cookiejar.py:982(set_ok_name)
     2999    0.004    0.000    0.064    0.000 cookiejar.py:991(set_ok_path)
        2    0.000    0.000    0.001    0.000 cookies.py:1(<module>)
       20    0.000    0.000    0.000    0.000 cookies.py:10(__init__)
     1749    0.002    0.000    0.002    0.000 cookies.py:101(<listcomp>)
        1    0.000    0.000    0.000    0.000 cookies.py:104(_DummyLock)
     4496    0.001    0.000    0.001    0.000 cookies.py:105(acquire)
     4496    0.001    0.000    0.001    0.000 cookies.py:108(release)
        1    0.000    0.000    0.000    0.000 cookies.py:112(WrappedRequest)
     4995    0.003    0.000    0.003    0.000 cookies.py:118(__init__)
    19760    0.017    0.000    0.022    0.000 cookies.py:121(get_full_url)
     1583    0.002    0.000    0.008    0.000 cookies.py:127(get_type)
    11575    0.013    0.000    0.022    0.000 cookies.py:130(is_unverifiable)
        1    0.000    0.000    0.000    0.000 cookies.py:14(CookiesMiddleware)
     1583    0.001    0.000    0.009    0.000 cookies.py:152(type)
    11575    0.008    0.000    0.030    0.000 cookies.py:156(unverifiable)
     1598    0.003    0.000    0.015    0.000 cookies.py:164(has_header)
       20    0.000    0.000    0.000    0.000 cookies.py:17(__init__)
     1497    0.009    0.000    0.580    0.000 cookies.py:17(extract_cookies)
     1598    0.002    0.000    0.055    0.000 cookies.py:178(add_unredirected_header)
        1    0.000    0.000    0.000    0.000 cookies.py:182(WrappedResponse)
     3246    0.002    0.000    0.002    0.000 cookies.py:184(__init__)
     4743    0.001    0.000    0.001    0.000 cookies.py:187(info)
     6492    0.015    0.000    0.081    0.000 cookies.py:191(get_all)
     6492    0.005    0.000    0.015    0.000 cookies.py:192(<listcomp>)
       20    0.000    0.000    0.000    0.000 cookies.py:21(from_crawler)
     1749    0.040    0.000    0.682    0.000 cookies.py:22(add_cookie_header)
     1749    0.022    0.000    0.985    0.001 cookies.py:27(process_request)
     1497    0.040    0.000    0.623    0.000 cookies.py:42(process_response)
     1749    0.001    0.000    0.001    0.000 cookies.py:54(_debug_cookie)
